ID,Job_Title,Salary_Estimate,Rating,Company_Name,Size,Founded,Type_of_Ownership,Sector,Revenue,hourly,employer_provided,min_salary,max_salary,avg_salary,job_state,age,python_yn,R_yn,spark,aws,excel
18,Other Data related Job,$110K-$175K (Glassdoor est.),4.2,Nuna,51 to 200,2010,Company - Private,Information Technology,Unknown / Non-Applicable,0,0,110,175,142.5, CA,10,0,0,0,0,0
19,Data Scientist,$64K-$111K (Glassdoor est.),4.0,Pinnacol Assurance,501 to 1000,1915,Nonprofit Organization,Insurance,$500 million to $1 billion (USD),0,0,64,111,87.5, CO,105,1,0,0,0,1
20,Data Scientist,$81K-$130K (Glassdoor est.),3.2,Porch,201 to 500,2012,Company - Private,Information Technology,Unknown / Non-Applicable,0,0,81,130,105.5, WA,8,1,0,1,0,0
21,Other Data related Job,$73K-$119K (Glassdoor est.),3.9,Health IQ,201 to 500,2013,Company - Private,Insurance,Unknown / Non-Applicable,0,0,73,119,96.0, TX,7,0,0,0,0,1
22,Other Data related Job,$86K-$139K (Glassdoor est.),3.8,Truckstop.com,501 to 1000,1995,Company - Private,Other,Unknown / Non-Applicable,0,0,86,139,112.5, IL,25,1,0,0,1,1
23,Data Scientist,$63K-$105K (Glassdoor est.),4.3,SMC 3,51 to 200,1935,Nonprofit Organization,Other,$10 to $25 million (USD),0,0,63,105,84.0, KY,85,1,0,0,0,1
24,Data Scientist,$109K-$177K (Glassdoor est.),4.0,Novetta,501 to 1000,2012,Company - Private,Information Technology,$100 to $500 million (USD),0,0,109,177,143.0, VA,8,1,0,0,1,0
25,Other Data related Job,$63K-$110K (Glassdoor est.),4.0,Pfizer,10000+,1849,Company - Public,Biotech & Pharmaceuticals,$10+ billion (USD),0,0,63,110,86.5, MA,171,1,0,0,1,1
26,Data Scientist,$75K-$124K (Glassdoor est.),3.5,First Tech Federal Credit Union,1001 to 5000,1952,Company - Private,Finance,$100 to $500 million (USD),0,0,75,124,99.5, OR,68,1,0,1,1,1
27,Associate Data Analyst,$34K-$61K (Glassdoor est.),3.7,The Hanover Insurance Group,5001 to 10000,1852,Company - Public,Insurance,$5 to $10 billion (USD),0,0,34,61,47.5, MA,168,0,0,0,0,1
28,Other Data related Job,$63K-$105K (Glassdoor est.),4.0,Pfizer,10000+,1849,Company - Public,Biotech & Pharmaceuticals,$10+ billion (USD),0,0,63,105,84.0, CT,171,0,0,0,1,1
31,Data Scientist,$72K-$120K (Glassdoor est.),3.6,Amrock,1001 to 5000,1997,Company - Private,Real Estate,$500 million to $1 billion (USD),0,0,72,120,96.0, MI,23,1,0,0,0,0
32,Other Data related Job,$86K-$143K (Glassdoor est.),3.8,Novartis,10000+,1996,Company - Public,Biotech & Pharmaceuticals,$10+ billion (USD),0,0,86,143,114.5, MA,24,1,0,0,0,0
33,Data Scientist,$93K-$149K (Glassdoor est.),3.8,Juniper Networks,5001 to 10000,1996,Company - Public,Other,$2 to $5 billion (USD),0,0,93,149,121.0, CA,24,1,0,1,0,1
34,Data Scientist,$85K-$140K (Glassdoor est.),4.7,New England Biolabs,201 to 500,1974,Company - Private,Biotech & Pharmaceuticals,Unknown / Non-Applicable,0,0,85,140,112.5, MA,46,1,0,0,0,1
35,Other Data related Job,$77K-$135K (Glassdoor est.),4.2,Clarity Insights,201 to 500,2008,Company - Private,Information Technology,Unknown / Non-Applicable,0,0,77,135,106.0, CA,12,1,0,0,0,1
36,Data Scientist,$82K-$132K (Glassdoor est.),3.5,Esri,1001 to 5000,1969,Company - Private,Information Technology,$1 to $2 billion (USD),0,0,82,132,107.0, CA,51,1,0,1,1,0
37,Data Scientist,$83K-$137K (Glassdoor est.),4.7,Systems & Technology Research,201 to 500,2010,Company - Private,Aerospace & Defense,$100 to $500 million (USD),0,0,83,137,110.0, MA,10,1,0,1,0,1
38,Senior Data Scientist,$115K-$180K (Glassdoor est.),3.5,Sartorius,5001 to 10000,1870,Company - Public,Biotech & Pharmaceuticals,$1 to $2 billion (USD),0,0,115,180,147.5, CA,150,1,0,0,0,1
39,Data Engineer,$74K-$138K (Glassdoor est.),3.5,Lancer Insurance,201 to 500,1985,Company - Private,Insurance,$100 to $500 million (USD),0,0,74,138,106.0, NY,35,1,0,0,0,1
40,Data Analyst,$64K-$112K (Glassdoor est.),4.2,Sauce Labs,201 to 500,2008,Company - Private,Information Technology,$50 to $100 million (USD),0,0,64,112,88.0, CA,12,1,0,0,1,1
42,Other Data related Job,$110K-$175K (Glassdoor est.),4.2,Nuna,51 to 200,2010,Company - Private,Information Technology,Unknown / Non-Applicable,0,0,110,175,142.5, CA,10,0,0,0,0,0
43,Scientist,$52K-$113K (Glassdoor est.),3.4,Edgewell Personal Care,5001 to 10000,2015,Company - Public,Manufacturing,$2 to $5 billion (USD),0,0,52,113,82.5, NJ,5,0,0,0,1,0
44,Senior Data Scientist,$110K-$150K(Employer est.),4.3,Equity Residential,1001 to 5000,1993,Company - Public,Real Estate,$2 to $5 billion (USD),0,0,110,150,130.0, IL,27,1,0,1,0,1
46,Lead Data Scientist,$158K-$211K (Glassdoor est.),3.7,Visa Inc.,10000+,1958,Company - Public,Information Technology,$10+ billion (USD),0,0,158,211,184.5, WA,62,1,0,0,0,1
47,Associate Data Analyst,$20K-$39K (Glassdoor est.),3.1,Intrado,5001 to 10000,1986,Company - Private,Information Technology,$2 to $5 billion (USD),0,0,20,39,29.5, CO,34,0,0,0,0,1
48,Other Data related Job,$56K-$117K (Glassdoor est.),4.7,Centauri,501 to 1000,1999,Company - Private,Aerospace & Defense,$100 to $500 million (USD),0,0,56,117,86.5, OH,21,0,0,0,0,0
49,Other Data related Job,$63K-$99K (Glassdoor est.),3.7,Caterpillar,10000+,1925,Company - Public,Manufacturing,$10+ billion (USD),0,0,63,99,81.0, IL,95,0,0,0,0,0
50,Data Scientist,$68K-$114K (Glassdoor est.),3.8,Zimmerman Advertising,501 to 1000,1984,Subsidiary or Business Segment,Business Services,Unknown / Non-Applicable,0,0,68,114,91.0, FL,36,1,0,0,0,1
51,Other Data related Job,$86K-$143K (Glassdoor est.),3.3,Liberty Mutual Insurance,10000+,1912,Company - Private,Insurance,$10+ billion (USD),0,0,86,143,114.5, MA,108,1,0,0,0,0
52,Other Data related Job,$41K-$95K (Glassdoor est.),4.6,"Torch Technologies, Inc.",1001 to 5000,2002,Company - Private,Aerospace & Defense,$100 to $500 million (USD),0,0,41,95,68.0, AL,18,1,0,0,0,1
53,Data Scientist,$86K-$144K (Glassdoor est.),3.7,Swiss Re,10000+,1863,Company - Public,Insurance,$10+ billion (USD),0,0,86,144,115.0, NY,157,1,0,0,0,1
54,Data Scientist,$80K-$139K (Glassdoor est.),3.7,Northrop Grumman,10000+,1939,Company - Public,Aerospace & Defense,$10+ billion (USD),0,0,80,139,109.5, CA,81,0,0,0,0,1
55,Data Scientist,$56K-$95K (Glassdoor est.),3.5,Sartorius,5001 to 10000,1870,Company - Public,Biotech & Pharmaceuticals,$1 to $2 billion (USD),0,0,56,95,75.5, NM,150,1,0,0,0,1
56,Data Scientist,$120K-$189K (Glassdoor est.),4.1,Netskope,501 to 1000,2012,Company - Private,Information Technology,Unknown / Non-Applicable,0,0,120,189,154.5, CA,8,1,0,1,0,1
57,Data Scientist,$111K-$176K (Glassdoor est.),4.7,1904labs,51 to 200,2016,Company - Private,Information Technology,Unknown / Non-Applicable,0,0,111,176,143.5, MO,4,1,0,1,0,0
60,Senior Data Scientist,$82K-$132K (Glassdoor est.),4.4,The David J. Joseph Company,201 to 500,1885,Subsidiary or Business Segment,Other,Unknown / Non-Applicable,0,0,82,132,107.0, OH,135,1,0,0,1,0
61,Data Scientist,$84K-$146K (Glassdoor est.),4.3,USEReady,201 to 500,2011,Company - Private,Business Services,$10 to $25 million (USD),0,0,84,146,115.0, NY,9,1,0,1,1,0
62,Other Data related Job,$107K-$172K (Glassdoor est.),3.8,Bill.com,501 to 1000,2006,Company - Public,Finance,$50 to $100 million (USD),0,0,107,172,139.5, CA,14,0,0,0,0,0
63,Other Data related Job,$49K-$85K (Glassdoor est.),3.8,Pacific Northwest National Laboratory,1001 to 5000,1965,Government,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),0,0,49,85,67.0, WA,55,0,0,0,0,0
64,Data Scientist,$61K-$109K (Glassdoor est.),3.8,DICK'S Sporting Goods - Corporate,10000+,1948,Company - Public,Retail,$5 to $10 billion (USD),0,0,61,109,85.0, PA,72,1,0,0,0,0
65,Data Scientist,$88K-$148K (Glassdoor est.),2.8,Berg Health,51 to 200,2006,Company - Private,Biotech & Pharmaceuticals,$1 to $5 million (USD),0,0,88,148,118.0, MA,14,1,0,0,0,1
66,Data Scientist,$60K-$99K (Glassdoor est.),4.7,Oversight Systems,51 to 200,2003,Company - Private,Information Technology,$25 to $50 million (USD),0,0,60,99,79.5, GA,17,1,0,0,0,1
67,Other Data related Job,$41K-$72K (Glassdoor est.),3.1,C Space,201 to 500,1999,Company - Public,Business Services,$100 to $500 million (USD),0,0,41,72,56.5, MA,21,1,0,0,0,0
68,Data Scientist,$96K-$161K (Glassdoor est.),3.2,"Numeric, LLC",1 to 50,-1,Company - Private,Business Services,$5 to $10 million (USD),0,0,96,161,128.5, PA,-1,1,0,1,1,0
69,Other Data related Job,$65K-$130K (Glassdoor est.),4.0,HP Inc.,10000+,1939,Company - Public,Information Technology,Unknown / Non-Applicable,0,0,65,130,97.5, WA,81,0,0,0,0,0
70,Other Data related Job,$52K-$81K (Glassdoor est.),4.4,SpringML,1 to 50,2015,Company - Private,Information Technology,Unknown / Non-Applicable,0,0,52,81,66.5, IN,5,1,0,0,0,0
71,Other Data related Job,$139K-$220K (Glassdoor est.),3.6,Grainger,10000+,1927,Company - Public,Business Services,$10+ billion (USD),0,0,139,220,179.5, IL,93,1,0,0,0,1
72,Scientist,$50K-$102K (Glassdoor est.),2.7,EAG Laboratories,501 to 1000,1978,Subsidiary or Business Segment,Business Services,$50 to $100 million (USD),0,0,50,102,76.0, MO,42,0,0,0,0,1
73,Other Data related Job,$85K-$139K (Glassdoor est.),3.9,The Buffalo Group,501 to 1000,2010,Company - Private,Information Technology,$100 to $500 million (USD),0,0,85,139,112.0, VA,10,1,0,1,0,0
74,Data Scientist,$74K-$122K (Glassdoor est.),3.1,Carmeuse,1001 to 5000,1860,Company - Private,Other,$1 to $2 billion (USD),0,0,74,122,98.0, PA,160,1,0,0,0,0
75,Other Data related Job,$99K-$157K (Glassdoor est.),4.0,HP Inc.,10000+,1939,Company - Public,Information Technology,Unknown / Non-Applicable,0,0,99,157,128.0, WA,81,0,0,1,1,0
76,Other Data related Job,$79K-$222K (Glassdoor est.),4.3,h2o.ai,201 to 500,2011,Company - Private,Information Technology,Unknown / Non-Applicable,0,0,79,222,150.5, CA,9,1,0,1,1,1
77,Research Scientist,$57K-$118K (Glassdoor est.),1.9,GNS Healthcare,51 to 200,2000,Company - Private,Biotech & Pharmaceuticals,$10 to $25 million (USD),0,0,57,118,87.5, MA,20,0,0,0,1,0
78,Data Scientist,$83K-$137K (Glassdoor est.),3.3,Peraton,1001 to 5000,2017,Company - Private,Aerospace & Defense,$1 to $2 billion (USD),0,0,83,137,110.0, VA,3,1,0,0,0,1
79,Data Scientist,$86K-$141K (Glassdoor est.),4.4,Pactera,10000+,1995,Company - Private,Information Technology,$500 million to $1 billion (USD),0,0,86,141,113.5, CA,25,1,0,0,0,1
80,Data Scientist,$94K-$154K (Glassdoor est.),3.9,Nurx,51 to 200,2016,Company - Private,Health Care,$1 to $5 million (USD),0,0,94,154,124.0, CA,4,1,0,0,0,0
81,Other Data related Job,$37K-$76K (Glassdoor est.),4.7,webfx.com,201 to 500,1997,Company - Private,Business Services,$25 to $50 million (USD),0,0,37,76,56.5, PA,23,0,0,0,0,1
82,Data Scientist,$100K-$160K (Glassdoor est.),4.5,Johns Hopkins University Applied Physics Laboratory,5001 to 10000,1942,Nonprofit Organization,Aerospace & Defense,$1 to $2 billion (USD),0,0,100,160,130.0, MD,78,1,0,0,0,1
83,Data Analyst,$55K-$100K (Glassdoor est.),4.3,Productive Edge,51 to 200,2008,Company - Private,Information Technology,$10 to $25 million (USD),0,0,55,100,77.5, IL,12,0,0,0,0,1
84,Data Engineer,$60K-$114K (Glassdoor est.),4.0,Excella Consulting,201 to 500,2002,Company - Private,Business Services,$50 to $100 million (USD),0,0,60,114,87.0, VA,18,1,0,0,1,1
85,Data Analyst,$39K-$68K (Glassdoor est.),4.4,Gensco,501 to 1000,1948,Company - Private,Business Services,$100 to $500 million (USD),0,0,39,68,53.5, WA,72,0,0,0,0,1
88,Data Scientist,$64K-$107K (Glassdoor est.),4.2,goTRG,501 to 1000,2008,Company - Private,Information Technology,$100 to $500 million (USD),0,0,64,107,85.5, FL,12,1,0,1,0,1
89,Other Data related Job,$31K-$65K (Glassdoor est.),4.5,NMR Consulting,51 to 200,1996,Company - Private,Information Technology,$25 to $50 million (USD),0,0,31,65,48.0, AL,24,0,0,0,0,1
90,Other Data related Job,$34K-$62K (Glassdoor est.),3.5,iSeatz,51 to 200,1999,Company - Private,Information Technology,Unknown / Non-Applicable,0,0,34,62,48.0, LA,21,0,0,0,0,1
91,Other Data related Job,$117K-$231K (Glassdoor est.),3.5,Nektar Therapeutics,201 to 500,1990,Company - Public,Biotech & Pharmaceuticals,$100 to $500 million (USD),0,0,117,231,174.0, CA,30,0,0,0,0,1
92,Other Data related Job,$64K-$106K (Glassdoor est.),3.9,TransUnion,5001 to 10000,1968,Company - Public,Finance,$1 to $2 billion (USD),0,0,64,106,85.0, GA,52,1,0,1,0,0
93,Other Data related Job,$79K-$134K (Glassdoor est.),4.7,IT Concepts,51 to 200,2003,Company - Private,Information Technology,$10 to $25 million (USD),0,0,79,134,106.5, MD,17,0,0,0,0,0
